entidade,preco_fecho,dates
ENA,6500.0,2009-05-18
ENA,6500.0,2009-05-13
ENA,6500.0,2009-05-11
ENA,6500.0,2009-05-07
BCA,3400.0,2009-05-07
ENA,6600.0,2009-05-06
ENA,6500.0,2009-05-04
ENA,6500.0,2009-04-29
BCA,3100.0,2009-04-29
BCA,3100.0,2009-04-28
ENA,6500.0,2009-04-24
ENA,6500.0,2009-04-22
BCA,3100.0,2009-04-22
ENA,6500.0,2009-04-17
ENA,6700.0,2009-04-15
ENA,6700.0,2009-04-14
SCT,5890.0,2009-04-13
ENA,6700.0,2009-04-13
ENA,6700.0,2009-04-09
BCA,3105.0,2009-04-09
ENA,6500.0,2009-04-06
BCA,3110.0,2009-04-03
ENA,6500.0,2009-03-31
BCA,3109.0,2009-03-27
ENA,6500.0,2009-03-24
CAIXA,6000.0,2009-03-23
SCT,5895.0,2009-03-19
ENA,6500.0,2009-03-17
ENA,6500.0,2009-03-11
ENA,7200.0,2009-03-09
CAIXA,6000.0,2009-03-09
ENA,7000.0,2009-03-05
ENA,7000.0,2009-03-04
ENA,7200.0,2009-03-03
BCA,3420.0,2009-02-19
ENA,6500.0,2009-02-18
BCA,3425.0,2009-02-18
BCA,3400.0,2009-02-17
ENA,6500.0,2009-02-13
ENA,6500.0,2009-02-12
CAIXA,6000.0,2009-02-12
ENA,6500.0,2009-02-10
ENA,6600.0,2009-02-05
ENA,6500.0,2009-01-28
BCA,3200.0,2009-01-27
ENA,6500.0,2009-01-26
BCA,3200.0,2009-01-26
ENA,6500.0,2009-01-21
BCA,3200.0,2009-01-21
ENA,6500.0,2009-01-19
ENA,6500.0,2009-01-16
ENA,6500.0,2009-01-08
ENA,6500.0,2009-01-06
BCA,3200.0,2008-12-30
BCA,3200.0,2008-12-15
BCA,3100.0,2008-12-03
ENA,6900.0,2008-11-27
ENA,7000.0,2008-11-19
BCA,3100.0,2008-11-19
BCA,3100.0,2008-11-18
BCA,3100.0,2008-11-14
BCA,3100.0,2008-11-10
ENA,6724.0,2008-11-07
CAIXA,6500.0,2008-11-05
BCA,3090.0,2008-10-31
ENA,7000.0,2008-10-24
ENA,7001.0,2008-10-23
ENA,7000.0,2008-10-22
ENA,7000.0,2008-10-21
ENA,7000.0,2008-10-20
ENA,7000.0,2008-10-17
ENA,7000.0,2008-10-16
ENA,7000.0,2008-10-15
ENA,7000.0,2008-10-13
ENA,7000.0,2008-10-10
ENA,7000.0,2008-10-08
ENA,7000.0,2008-10-07
ENA,7000.0,2008-10-06
ENA,7000.0,2008-10-03
ENA,7000.0,2008-10-01
ENA,7000.0,2008-09-29
ENA,7000.0,2008-09-24
ENA,7000.0,2008-09-23
ENA,7000.0,2008-09-18
ENA,7000.0,2008-09-17
ENA,7000.0,2008-09-15
ENA,7000.0,2008-09-12
ENA,7000.0,2008-09-10
ENA,7000.0,2008-09-09
ENA,7000.0,2008-09-04
ENA,7000.0,2008-09-03
ENA,7000.0,2008-08-28
BCA,3100.0,2008-08-28
ENA,7000.0,2008-08-25
ENA,7000.0,2008-08-21
ENA,7000.0,2008-08-20
ENA,7000.0,2008-08-19
ENA,7000.0,2008-08-14
ENA,7000.0,2008-08-08
BCA,3500.0,2008-08-08
ENA,7000.0,2008-08-06
ENA,7000.0,2008-08-05
BCA,3100.0,2008-08-05
ENA,7000.0,2008-08-01
ENA,7000.0,2008-07-28
ENA,7000.0,2008-07-23
CAIXA,6500.0,2008-07-23
ENA,7000.0,2008-07-22
ENA,7000.0,2008-07-17
ENA,7000.0,2008-07-14
ENA,7000.0,2008-07-11
BCA,3100.0,2008-07-11
ENA,7000.0,2008-06-26
BCA,3100.0,2008-06-19
ENA,6800.0,2008-06-17
BCA,2900.0,2008-06-17
ENA,7000.0,2008-06-09
ENA,6500.0,2008-06-06
ENA,6500.0,2008-06-05
ENA,6500.0,2008-05-27
CAIXA,6500.0,2008-04-30
ENA,6800.0,2008-04-22
ENA,6795.0,2008-04-15
ENA,6800.0,2008-04-14
ENA,6981.0,2008-04-03
ENA,6981.0,2008-04-02
ENA,6980.0,2008-03-28
ENA,6990.0,2008-03-27
ENA,6980.0,2008-03-19
SCT,6500.0,2008-03-12
ENA,6799.0,2008-03-12
BCA,3100.0,2008-03-12
ENA,6000.0,2008-03-10
BCA,3100.0,2008-03-05
SCT,6500.0,2008-02-18
BCA,3200.0,2008-01-28
SCT,6500.0,2008-01-24
ENA,6800.0,2008-01-22
